Custom field (Hospital Name),Custom field (1a. How many Fee For Service (FFS) Medicare patients were discharged from acute hospital care at home in the last calendar month?),Custom field (1b. How many non-managed care Medicaid patients were discharged from acute hospital care at home in the last calendar month?),Custom field (1c. How many discharges involved patients who had both FFS Medicare and FFS Medicaid (Dual-Eligibles)?),"Custom field (2a. Excluding patients on hospice and those not on hospice but whose death was expected by the care team and the patient and their family/caregivers, how many FFS Medicare patients died during their hospitalization in the past calendar month?)","Custom field (2b. Excluding patients on hospice and those not on hospice but whose death was expected by the care team and the patient and their family/caregivers, how many non-managed care Medicaid patients died during their hospitalization in the past calendar mo...)",Custom field (2c. How many patients died during their hospitalization in the past calendar month who had both FFS Medicare and FFS Medicaid (Dual-Eligibles)?),Custom field (3a. How many FFS Medicare patients required transfer back and admission to the traditional inpatient hospital setting from their acute hospital care at home in the past calendar month?),Custom field (3b. How many non-managed care Medicaid patients required transfer back and admission to the traditional inpatient hospital setting from their acute hospital care at home in the past calendar month?),Custom field (3c. How many patient discharges involved a transfer to the traditional inpatient hospital setting from their acute hospital care at home in the past calendar month and had coverage by both FFS Medicare and FFS Medicaid (Dual-Eligibles)?),Custom field (4. Has your acute hospital care at home safety committee reviewed the metrics being reported in this monthly report?),Custom field (CCN),Issue Type,Custom field (Measure From Date),Custom field (Measure To Date),Priority,Reporter,Summary,Created,Status
Marshfield Medical Center-Marshfield,2,0,0,0,0,0,0,0,0,Yes,520037,AHCAH Measure - Tier 1,Sep/01/2021 12:00 AM,Sep/30/2021 12:00 AM,Medium,ess_service_account,Marshfield Medical Center-Marshfield: Measures for 2021-09-01 - 2021-09-30,Oct/01/2021 8:54 AM,Measures Submitted
Mercy Hospital St. Louis,0,0,0,0,0,0,0,0,0,No,260020,AHCAH Measure - Tier 1,Sep/01/2021 12:00 AM,Sep/30/2021 12:00 AM,Medium,ess_service_account,Mercy Hospital St. Louis: Measures for 2021-09-01 - 2021-09-30,Oct/01/2021 8:39 AM,Measures Submitted
Indiana University Health Methodist Hospital,0,0,0,0,0,0,0,0,0,No,150056,AHCAH Measure - Tier 1,Sep/01/2021 12:00 AM,Sep/30/2021 12:00 AM,Medium,ess_service_account,Indiana University Health Methodist Hospital: Measures for 2021-09-01 - 2021-09-30,Oct/01/2021 8:06 AM,Measures Submitted
Abbott Northwestern Hospital,0,0,0,0,0,0,0,0,0,No,240057,AHCAH Measure - Tier 1,Aug/01/2021 12:00 AM,Aug/31/2021 12:00 AM,Medium,ess_service_account,Abbott Northwestern Hospital: Measures for 2021-08-01 - 2021-08-31,Sep/08/2021 10:11 AM,Measures Submitted
St. Francis Regional Medical Center,0,0,0,0,0,0,0,0,0,No,240104,AHCAH Measure - Tier 1,Aug/01/2021 12:00 AM,Aug/31/2021 12:00 AM,Medium,ess_service_account,St. Francis Regional Medical Center: Measures for 2021-08-01 - 2021-08-31,Sep/08/2021 10:10 AM,Measures Submitted
Mercy Hospital,0,0,0,0,0,0,0,0,0,No,240115,AHCAH Measure - Tier 1,Aug/01/2021 12:00 AM,Aug/31/2021 12:00 AM,Medium,ess_service_account,Mercy Hospital: Measures for 2021-08-01 - 2021-08-31,Sep/08/2021 10:10 AM,Measures Submitted
United Hospital,0,0,0,0,0,0,0,0,0,No,240038,AHCAH Measure - Tier 1,Aug/01/2021 12:00 AM,Aug/31/2021 12:00 AM,Medium,ess_service_account,United Hospital: Measures for 2021-08-01 - 2021-08-31,Sep/08/2021 10:09 AM,Measures Submitted
San Joaquin Community Hospital dba Adventist Health Bakersfield,3,12,0,0,0,0,0,0,0,Yes,50455,AHCAH Measure - Tier 1,Aug/01/2021 12:00 AM,Aug/31/2021 12:00 AM,Medium,ess_service_account,San Joaquin Community Hospital dba Adventist Health Bakersfield: Measures for 2021-08-01 - 2021-08-31,Sep/07/2021 6:46 PM,Measures Submitted
Hanford Community Hospital dba Adventist Health Hanford,4,11,2,0,0,0,0,1,0,Yes,50121,AHCAH Measure - Tier 1,Aug/01/2021 12:00 AM,Aug/31/2021 12:00 AM,Medium,ess_service_account,Hanford Community Hospital dba Adventist Health Hanford: Measures for 2021-08-01 - 2021-08-31,Sep/07/2021 6:44 PM,Measures Submitted
Adventist Health Ukiah Valley,0,0,0,0,0,0,0,0,0,No,50301,AHCAH Measure - Tier 1,Aug/01/2021 12:00 AM,Aug/31/2021 12:00 AM,Medium,ess_service_account,Adventist Health Ukiah Valley: Measures for 2021-08-01 - 2021-08-31,Sep/07/2021 6:40 PM,Measures Submitted
Kaiser Foundation Hospital - Westside,0,0,0,0,0,0,0,0,0,Yes,380103,AHCAH Measure - Tier 1,Aug/01/2021 12:00 AM,Aug/31/2021 12:00 AM,Medium,ess_service_account,Kaiser Foundation Hospital - Westside: Measures for 2021-08-01 - 2021-08-31,Sep/07/2021 5:50 PM,Measures Submitted
Kaiser Sunnyside Medical Center,0,0,0,0,0,0,0,0,0,Yes,380091,AHCAH Measure - Tier 1,Aug/01/2021 12:00 AM,Aug/31/2021 12:00 AM,Medium,ess_service_account,Kaiser Sunnyside Medical Center: Measures for 2021-08-01 - 2021-08-31,Sep/07/2021 5:49 PM,Measures Submitted
WakeMed Health and Hospitals- Cary,2,1,0,0,0,0,1,0,0,Yes,340173,AHCAH Measure - Tier 1,Aug/01/2021 12:00 AM,Aug/31/2021 12:00 AM,High,ess_service_account,WakeMed Health and Hospitals- Cary: Measures for 2021-08-01 - 2021-08-31,Sep/07/2021 4:45 PM,Measures Submitted
Mount Sinai Morningside Hospital,0,0,0,0,0,0,0,0,0,No,330046,AHCAH Measure - Tier 1,Aug/01/2021 12:00 AM,Aug/31/2021 12:00 AM,Medium,ess_service_account,Mount Sinai Morningside Hospital: Measures for 2021-08-01 - 2021-08-31,Sep/07/2021 4:25 PM,Measures Submitted
Mount Sinai Beth Israel Hospital,0,0,0,0,0,0,0,0,0,No,330169,AHCAH Measure - Tier 1,Aug/01/2021 12:00 AM,Aug/31/2021 12:00 AM,Medium,ess_service_account,Mount Sinai Beth Israel Hospital: Measures for 2021-08-01 - 2021-08-31,Sep/07/2021 4:24 PM,Measures Submitted
Mount Sinai Hospital,6,0,0,0,0,0,0,0,0,Yes,330024,AHCAH Measure - Tier 1,Aug/01/2021 12:00 AM,Aug/31/2021 12:00 AM,Medium,ess_service_account,Mount Sinai Hospital: Measures for 2021-08-01 - 2021-08-31,Sep/07/2021 4:17 PM,Measures Submitted
WakeMed Health and Hospitals- Raleigh,3,4,0,0,0,0,1,0,0,Yes,340069,AHCAH Measure - Tier 1,Aug/01/2021 12:00 AM,Aug/31/2021 12:00 AM,Medium,ess_service_account,WakeMed Health and Hospitals- Raleigh: Measures for 2021-08-01 - 2021-08-31,Sep/07/2021 4:07 PM,Measures Submitted
Presbyterian Hospital/Presbyterian Healthcare Services,0,0,0,0,0,0,0,0,0,No,320021,AHCAH Measure - Tier 1,Aug/01/2021 12:00 AM,Aug/31/2021 12:00 AM,Medium,ess_service_account,Presbyterian Hospital/Presbyterian Healthcare Services: Measures for 2021-08-01 - 2021-08-31,Sep/07/2021 12:58 PM,Measures Submitted
UC San Diego Health,0,0,0,0,0,0,0,0,0,No,50025,AHCAH Measure - Tier 1,Aug/01/2021 12:00 AM,Aug/31/2021 12:00 AM,Medium,ess_service_account,UC San Diego Health: Measures for 2021-08-01 - 2021-08-31,Sep/07/2021 12:14 PM,Measures Submitted
OSF Saint Francis Medical Center,0,0,0,0,0,0,0,0,0,No,140067,AHCAH Measure - Tier 1,Aug/01/2021 12:00 AM,Aug/31/2021 12:00 AM,Medium,ess_service_account,OSF Saint Francis Medical Center: Measures for 2021-08-01 - 2021-08-31,Sep/07/2021 10:12 AM,Measures Submitted
University of Utah Health and Huntsman Cancer Institute,0,0,0,0,0,0,0,0,0,No,460009,AHCAH Measure - Tier 1,Aug/01/2021 12:00 AM,Aug/31/2021 12:00 AM,Medium,ess_service_account,University of Utah Health and Huntsman Cancer Institute: Measures for 2021-08-01 - 2021-08-31,Sep/07/2021 9:39 AM,Measures Submitted
Brigham and Women's Hospital,23,19,8,0,0,0,0,0,0,Yes,220110,AHCAH Measure - Tier 1,Aug/01/2021 12:00 AM,Aug/31/2021 12:00 AM,Medium,ess_service_account,Brigham and Women's Hospital: Measures for 2021-08-01 - 2021-08-31,Sep/06/2021 12:01 PM,Measures Submitted
Massachusetts General Hospital,3,1,0,0,0,0,0,0,0,Yes,220071,AHCAH Measure - Tier 1,Aug/01/2021 12:00 AM,Aug/31/2021 12:00 AM,Medium,ess_service_account,Massachusetts General Hospital: Measures for 2021-08-01 - 2021-08-31,Sep/05/2021 7:02 AM,Measures Submitted
UnityPoint Health System,1,0,0,0,0,0,0,0,0,Yes,160082,AHCAH Measure - Tier 1,Aug/01/2021 12:00 AM,Aug/31/2021 12:00 AM,Medium,ess_service_account,UnityPoint Health System: Measures for 2021-08-01 - 2021-08-31,Sep/03/2021 7:49 PM,Measures Submitted
Mayo Clinic Health System-Northwest Wisconsin Region,19,2,2,0,0,0,3,0,0,Yes,520070,AHCAH Measure - Tier 1,Aug/01/2021 12:00 AM,Aug/31/2021 12:00 AM,High,ess_service_account,Mayo Clinic Health System-Northwest Wisconsin Region: Measures for 2021-08-01 - 2021-08-31,Sep/03/2021 12:56 PM,Measures Submitted
Mayo Clinic Florida,19,4,3,0,0,0,1,0,0,Yes,100151,AHCAH Measure - Tier 1,Aug/01/2021 12:00 AM,Aug/31/2021 12:00 AM,Medium,ess_service_account,Mayo Clinic Florida: Measures for 2021-08-01 - 2021-08-31,Sep/03/2021 12:45 PM,Measures Submitted
Atrium Health University,1,2,0,0,0,0,0,0,0,Yes,340166,AHCAH Measure - Tier 1,Aug/01/2021 12:00 AM,Aug/31/2021 12:00 AM,Medium,ess_service_account,Atrium Health University: Measures for 2021-08-01 - 2021-08-31,Sep/03/2021 12:01 PM,Measures Submitted
Atrium Health Union,7,1,0,0,0,0,1,0,0,Yes,340130,AHCAH Measure - Tier 1,Aug/01/2021 12:00 AM,Aug/31/2021 12:00 AM,Medium,ess_service_account,Atrium Health Union: Measures for 2021-08-01 - 2021-08-31,Sep/03/2021 11:58 AM,Measures Submitted
Atrium Health Pineville,1,1,0,0,0,0,0,0,0,Yes,340098,AHCAH Measure - Tier 1,Aug/01/2021 12:00 AM,Aug/31/2021 12:00 AM,Medium,ess_service_account,Atrium Health Pineville: Measures for 2021-08-01 - 2021-08-31,Sep/03/2021 11:52 AM,Measures Submitted
Carolinas Medical Center,4,4,0,0,1,0,0,1,0,Yes,340113,AHCAH Measure - Tier 1,Aug/01/2021 12:00 AM,Aug/31/2021 12:00 AM,Critical,ess_service_account,Carolinas Medical Center: Measures for 2021-08-01 - 2021-08-31,Sep/03/2021 11:47 AM,Measures Submitted
Atrium Health Cabarrus,13,2,0,1,0,0,1,0,0,Yes,340001,AHCAH Measure - Tier 1,Aug/01/2021 12:00 AM,Aug/31/2021 12:00 AM,Critical,ess_service_account,Atrium Health Cabarrus: Measures for 2021-08-01 - 2021-08-31,Sep/03/2021 11:43 AM,Measures Submitted
Scripps Memorial Hospital Encinitas,0,0,0,0,0,0,0,0,0,No,50503,AHCAH Measure - Tier 1,Aug/01/2021 12:00 AM,Aug/31/2021 12:00 AM,Medium,ess_service_account,Scripps Memorial Hospital Encinitas: Measures for 2021-08-01 - 2021-08-31,Sep/02/2021 6:01 PM,Measures Submitted
Greenville Memorial Hospital,0,0,0,0,0,0,0,0,0,No,420078,AHCAH Measure - Tier 1,Aug/01/2021 12:00 AM,Aug/31/2021 12:00 AM,Medium,ess_service_account,Greenville Memorial Hospital: Measures for 2021-08-01 - 2021-08-31,Sep/02/2021 12:46 PM,Measures Submitted
Saint Thomas West Hospital,7,0,0,0,0,0,0,0,0,Yes,440082,AHCAH Measure - Tier 1,Aug/01/2021 12:00 AM,Aug/31/2021 12:00 AM,Medium,ess_service_account,Saint Thomas West Hospital: Measures for 2021-08-01 - 2021-08-31,Sep/01/2021 6:54 PM,Measures Submitted
Marshfield Medical Center-Marshfield,2,0,0,0,0,0,0,0,0,Yes,520037,AHCAH Measure - Tier 1,Aug/01/2021 12:00 AM,Aug/31/2021 12:00 AM,Medium,ess_service_account,Marshfield Medical Center-Marshfield: Measures for 2021-08-01 - 2021-08-31,Sep/01/2021 5:17 PM,Measures Submitted
WakeMed Health and Hospitals- Raleigh,3,0,0,0,0,0,0,0,0,Yes,340069,AHCAH Measure - Tier 1,Jul/01/2021 12:00 AM,Jul/31/2021 12:00 AM,Medium,ess_service_account,WakeMed Health and Hospitals- Raleigh: Measures for 2021-07-01 - 2021-07-31,Sep/01/2021 3:48 PM,Measures Submitted
United Health Services Hospitals,0,0,0,0,0,0,0,0,0,No,330394,AHCAH Measure - Tier 1,Aug/01/2021 12:00 AM,Aug/31/2021 12:00 AM,Medium,ess_service_account,United Health Services Hospitals: Measures for 2021-08-01 - 2021-08-31,Sep/01/2021 1:49 PM,Measures Submitted
Sentara Norfolk General Hospital,0,0,0,0,0,0,0,0,0,No,490007,AHCAH Measure - Tier 1,Aug/01/2021 12:00 AM,Aug/31/2021 12:00 AM,Medium,ess_service_account,Sentara Norfolk General Hospital: Measures for 2021-08-01 - 2021-08-31,Sep/01/2021 12:18 PM,Measures Submitted
Mercy Hospital St. Louis,0,0,0,0,0,0,0,0,0,No,260020,AHCAH Measure - Tier 1,Aug/01/2021 12:00 AM,Aug/31/2021 12:00 AM,Medium,ess_service_account,Mercy Hospital St. Louis: Measures for 2021-08-01 - 2021-08-31,Sep/01/2021 11:48 AM,Measures Submitted
Vanderbilt University Medical Center,0,0,0,0,0,0,0,0,0,No,440039,AHCAH Measure - Tier 1,Aug/01/2021 12:00 AM,Aug/31/2021 12:00 AM,Medium,ess_service_account,Vanderbilt University Medical Center: Measures for 2021-08-01 - 2021-08-31,Sep/01/2021 11:32 AM,Measures Submitted
Regions Hospital,0,0,0,0,0,0,0,0,0,No,240106,AHCAH Measure - Tier 1,Aug/01/2021 12:00 AM,Aug/31/2021 12:00 AM,Medium,ess_service_account,Regions Hospital: Measures for 2021-08-01 - 2021-08-31,Sep/01/2021 11:14 AM,Measures Submitted
Geisinger Lewistown Hospital,0,0,0,0,0,0,0,0,0,No,390048,AHCAH Measure - Tier 1,Aug/01/2021 12:00 AM,Aug/31/2021 12:00 AM,Medium,ess_service_account,Geisinger Lewistown Hospital: Measures for 2021-08-01 - 2021-08-31,Sep/01/2021 11:01 AM,Measures Submitted
Geisinger-Community Medical Center,0,0,0,0,0,0,0,0,0,No,390001,AHCAH Measure - Tier 1,Aug/01/2021 12:00 AM,Aug/31/2021 12:00 AM,Medium,ess_service_account,Geisinger-Community Medical Center: Measures for 2021-08-01 - 2021-08-31,Sep/01/2021 11:00 AM,Measures Submitted
Geisinger Wyoming Valley Medical Center,0,0,0,0,0,0,0,0,0,No,390270,AHCAH Measure - Tier 1,Aug/01/2021 12:00 AM,Aug/31/2021 12:00 AM,Medium,ess_service_account,Geisinger Wyoming Valley Medical Center: Measures for 2021-08-01 - 2021-08-31,Sep/01/2021 11:00 AM,Measures Submitted
Geisinger Medical Center,0,0,0,0,0,0,0,0,0,No,390006,AHCAH Measure - Tier 1,Aug/01/2021 12:00 AM,Aug/31/2021 12:00 AM,Medium,ess_service_account,Geisinger Medical Center: Measures for 2021-08-01 - 2021-08-31,Sep/01/2021 10:59 AM,Measures Submitted
Indiana University Health Methodist Hospital,0,0,0,0,0,0,0,0,0,No,150056,AHCAH Measure - Tier 1,Aug/01/2021 12:00 AM,Aug/31/2021 12:00 AM,Medium,ess_service_account,Indiana University Health Methodist Hospital: Measures for 2021-08-01 - 2021-08-31,Sep/01/2021 8:04 AM,Measures Submitted
Sentara Norfolk General Hospital,0,0,0,0,0,0,0,0,0,No,490007,AHCAH Measure - Tier 1,Jul/01/2021 12:00 AM,Jul/31/2021 12:00 AM,Medium,ess_service_account,Sentara Norfolk General Hospital: Measures for 2021-07-01 - 2021-07-31,Aug/18/2021 12:55 PM,Measures Submitted
Regions Hospital,0,0,0,0,0,0,0,0,0,No,240106,AHCAH Measure - Tier 1,Jul/01/2021 12:00 AM,Jul/31/2021 12:00 AM,Medium,ess_service_account,Regions Hospital: Measures for 2021-07-01 - 2021-07-31,Aug/13/2021 6:15 PM,Measures Submitted
Scripps Memorial Hospital Encinitas,0,0,0,0,0,0,0,0,0,No,50503,AHCAH Measure - Tier 1,Jul/01/2021 12:00 AM,Jul/31/2021 12:00 AM,Medium,ess_service_account,Scripps Memorial Hospital Encinitas: Measures for 2021-07-01 - 2021-07-31,Aug/11/2021 4:45 PM,Measures Submitted
OSF Saint Francis Medical Center,0,0,0,0,0,0,0,0,0,No,140067,AHCAH Measure - Tier 1,Jul/01/2021 12:00 AM,Jul/31/2021 12:00 AM,Medium,ess_service_account,OSF Saint Francis Medical Center: Measures for 2021-07-01 - 2021-07-31,Aug/09/2021 11:01 AM,Measures Submitted
United Health Services Hospitals,0,0,0,0,0,0,0,0,0,No,330394,AHCAH Measure - Tier 1,Jul/01/2021 12:00 AM,Jul/31/2021 12:00 AM,Medium,ess_service_account,United Health Services Hospitals: Measures for 2021-07-01 - 2021-07-31,Aug/09/2021 10:04 AM,Measures Submitted
Kaiser Foundation Hospital - Westside,0,0,0,0,0,0,0,0,0,Yes,380103,AHCAH Measure - Tier 1,Jul/01/2021 12:00 AM,Jul/31/2021 12:00 AM,Medium,ess_service_account,Kaiser Foundation Hospital - Westside: Measures for 2021-07-01 - 2021-07-31,Aug/07/2021 11:06 PM,Measures Submitted
Kaiser Sunnyside Medical Center,0,0,0,0,0,0,0,0,0,Yes,380091,AHCAH Measure - Tier 1,Jul/01/2021 12:00 AM,Jul/31/2021 12:00 AM,Medium,ess_service_account,Kaiser Sunnyside Medical Center: Measures for 2021-07-01 - 2021-07-31,Aug/07/2021 11:03 PM,Measures Submitted
Brigham and Women's Hospital,22,12,7,0,0,0,0,0,0,Yes,220110,AHCAH Measure - Tier 1,Jul/01/2021 12:00 AM,Jul/31/2021 12:00 AM,Medium,ess_service_account,Brigham and Women's Hospital: Measures for 2021-07-01 - 2021-07-31,Aug/06/2021 6:10 PM,Measures Submitted
WakeMed Health and Hospitals- Raleigh,3,0,0,0,0,0,0,0,0,Yes,340069,AHCAH Measure - Tier 1,Jul/01/2021 12:00 AM,Jul/31/2021 12:00 AM,Medium,ess_service_account,WakeMed Health and Hospitals- Raleigh: Measures for 2021-07-01 - 2021-07-31,Aug/06/2021 4:24 PM,Measures Submitted
WakeMed Health and Hospitals- Cary,0,0,0,0,0,0,0,0,0,Yes,340173,AHCAH Measure - Tier 1,Jul/01/2021 12:00 AM,Jul/31/2021 12:00 AM,Medium,ess_service_account,WakeMed Health and Hospitals- Cary: Measures for 2021-07-01 - 2021-07-31,Aug/06/2021 4:09 PM,Measures Submitted
Atrium Health University,2,1,0,0,0,0,0,0,0,Yes,340166,AHCAH Measure - Tier 1,Jul/01/2021 12:00 AM,Jul/31/2021 12:00 AM,Medium,ess_service_account,Atrium Health University: Measures for 2021-07-01 - 2021-07-31,Aug/06/2021 3:07 PM,Measures Submitted
Atrium Health Union,5,1,0,0,0,0,1,1,0,Yes,340130,AHCAH Measure - Tier 1,Jul/01/2021 12:00 AM,Jul/31/2021 12:00 AM,High,ess_service_account,Atrium Health Union: Measures for 2021-07-01 - 2021-07-31,Aug/06/2021 3:05 PM,Measures Submitted
Atrium Health Pineville,4,1,0,0,0,0,0,0,0,No,340098,AHCAH Measure - Tier 1,Jul/01/2021 12:00 AM,Jul/31/2021 12:00 AM,Medium,ess_service_account,Atrium Health Pineville: Measures for 2021-07-01 - 2021-07-31,Aug/06/2021 3:01 PM,Measures Submitted
Carolinas Medical Center,6,4,1,0,0,0,0,2,0,Yes,340113,AHCAH Measure - Tier 1,Jul/01/2021 12:00 AM,Jul/31/2021 12:00 AM,High,ess_service_account,Carolinas Medical Center: Measures for 2021-07-01 - 2021-07-31,Aug/06/2021 2:57 PM,Measures Submitted
Atrium Health Cabarrus,6,0,0,0,0,0,1,0,0,Yes,340001,AHCAH Measure - Tier 1,Jul/01/2021 12:00 AM,Jul/31/2021 12:00 AM,High,ess_service_account,Atrium Health Cabarrus: Measures for 2021-07-01 - 2021-07-31,Aug/06/2021 2:52 PM,Measures Submitted
UC San Diego Health,0,0,0,0,0,0,0,0,0,No,50025,AHCAH Measure - Tier 1,Jul/01/2021 12:00 AM,Jul/31/2021 12:00 AM,Medium,ess_service_account,UC San Diego Health: Measures for 2021-07-01 - 2021-07-31,Aug/06/2021 12:57 PM,Measures Submitted
Mayo Clinic Health System-Northwest Wisconsin Region,15,2,2,0,0,0,1,0,0,Yes,520070,AHCAH Measure - Tier 1,Jul/01/2021 12:00 AM,Jul/31/2021 12:00 AM,Medium,ess_service_account,Mayo Clinic Health System-Northwest Wisconsin Region: Measures for 2021-07-01 - 2021-07-31,Aug/04/2021 5:08 PM,Measures Submitted
Mayo Clinic Florida,29,1,1,0,0,0,4,1,1,Yes,100151,AHCAH Measure - Tier 1,Jul/01/2021 12:00 AM,Jul/31/2021 12:00 AM,Medium,ess_service_account,Mayo Clinic Florida: Measures for 2021-07-01 - 2021-07-31,Aug/04/2021 5:04 PM,Measures Submitted
San Joaquin Community Hospital dba Adventist Health Bakersfield,4,9,2,0,0,0,0,1,0,Yes,50455,AHCAH Measure - Tier 1,Jul/01/2021 12:00 AM,Jul/31/2021 12:00 AM,Medium,ess_service_account,San Joaquin Community Hospital dba Adventist Health Bakersfield: Measures for 2021-07-01 - 2021-07-31,Aug/04/2021 4:18 PM,Measures Submitted
Hanford Community Hospital dba Adventist Health Hanford,5,3,2,0,0,0,0,0,0,Yes,50121,AHCAH Measure - Tier 1,Jul/01/2021 12:00 AM,Jul/31/2021 12:00 AM,Medium,ess_service_account,Hanford Community Hospital dba Adventist Health Hanford: Measures for 2021-07-01 - 2021-07-31,Aug/04/2021 4:16 PM,Measures Submitted
Adventist Health Ukiah Valley,0,0,0,0,0,0,0,0,0,No,50301,AHCAH Measure - Tier 1,Jul/01/2021 12:00 AM,Jul/31/2021 12:00 AM,Medium,ess_service_account,Adventist Health Ukiah Valley: Measures for 2021-07-01 - 2021-07-31,Aug/04/2021 4:09 PM,Measures Submitted
Greenville Memorial Hospital,0,0,0,0,0,0,0,0,0,No,420078,AHCAH Measure - Tier 1,Jul/01/2021 12:00 AM,Jul/31/2021 12:00 AM,Medium,ess_service_account,Greenville Memorial Hospital: Measures for 2021-07-01 - 2021-07-31,Aug/03/2021 12:53 PM,Measures Submitted
UnityPoint Health System,3,0,0,0,0,0,0,0,0,Yes,160082,AHCAH Measure - Tier 1,Jul/01/2021 12:00 AM,Jul/31/2021 12:00 AM,Medium,ess_service_account,UnityPoint Health System: Measures for 2021-07-01 - 2021-07-31,Aug/03/2021 8:37 AM,Measures Submitted
Massachusetts General Hospital,8,2,1,0,0,0,0,1,0,Yes,220071,AHCAH Measure - Tier 1,Jul/01/2021 12:00 AM,Jul/31/2021 12:00 AM,Medium,ess_service_account,Massachusetts General Hospital: Measures for 2021-07-01 - 2021-07-31,Aug/02/2021 9:33 PM,Measures Submitted
Marshfield Medical Center-Marshfield,0,0,0,0,0,0,0,0,0,No,520037,AHCAH Measure - Tier 1,Jul/01/2021 12:00 AM,Jul/31/2021 12:00 AM,Medium,ess_service_account,Marshfield Medical Center-Marshfield: Measures for 2021-07-01 - 2021-07-31,Aug/02/2021 4:23 PM,Measures Submitted
Mount Sinai Morningside Hospital,0,0,0,0,0,0,0,0,0,No,330046,AHCAH Measure - Tier 1,Jul/01/2021 12:00 AM,Jul/31/2021 12:00 AM,Medium,ess_service_account,Mount Sinai Morningside Hospital: Measures for 2021-07-01 - 2021-07-31,Aug/02/2021 3:15 PM,Measures Submitted
Mount Sinai Beth Israel Hospital,0,0,0,0,0,0,0,0,0,No,330169,AHCAH Measure - Tier 1,Jul/01/2021 12:00 AM,Jul/31/2021 12:00 AM,Medium,ess_service_account,Mount Sinai Beth Israel Hospital: Measures for 2021-07-01 - 2021-07-31,Aug/02/2021 3:13 PM,Measures Submitted
Mount Sinai Hospital,5,0,0,0,0,0,0,0,0,Yes,330024,AHCAH Measure - Tier 1,Jul/01/2021 12:00 AM,Jul/31/2021 12:00 AM,Medium,ess_service_account,Mount Sinai Hospital: Measures for 2021-07-01 - 2021-07-31,Aug/02/2021 3:12 PM,Measures Submitted
Saint Thomas West Hospital,4,0,0,0,0,0,1,0,0,Yes,440082,AHCAH Measure - Tier 1,Jul/01/2021 12:00 AM,Jul/31/2021 12:00 AM,High,ess_service_account,Saint Thomas West Hospital: Measures for 2021-07-01 - 2021-07-31,Aug/02/2021 3:07 PM,Measures Submitted
University of Utah Health and Huntsman Cancer Institute,0,0,0,0,0,0,0,0,0,No,460009,AHCAH Measure - Tier 1,Jul/01/2021 12:00 AM,Jul/31/2021 12:00 AM,Medium,ess_service_account,University of Utah Health and Huntsman Cancer Institute: Measures for 2021-07-01 - 2021-07-31,Aug/02/2021 2:19 PM,Measures Submitted
Presbyterian Hospital/Presbyterian Healthcare Services,0,0,0,0,0,0,0,0,0,No,320021,AHCAH Measure - Tier 1,Jul/01/2021 12:00 AM,Jul/31/2021 12:00 AM,Medium,ess_service_account,Presbyterian Hospital/Presbyterian Healthcare Services: Measures for 2021-07-01 - 2021-07-31,Aug/02/2021 12:14 PM,Measures Submitted
Geisinger Lewistown Hospital,0,0,0,0,0,0,0,0,0,No,390048,AHCAH Measure - Tier 1,Jul/01/2021 12:00 AM,Jul/31/2021 12:00 AM,Medium,ess_service_account,Geisinger Lewistown Hospital: Measures for 2021-07-01 - 2021-07-31,Aug/02/2021 9:08 AM,Measures Submitted
Geisinger-Community Medical Center,0,0,0,0,0,0,0,0,0,No,390001,AHCAH Measure - Tier 1,Jul/01/2021 12:00 AM,Jul/31/2021 12:00 AM,Medium,ess_service_account,Geisinger-Community Medical Center: Measures for 2021-07-01 - 2021-07-31,Aug/02/2021 9:07 AM,Measures Submitted
Geisinger Wyoming Valley Medical Center,0,0,0,0,0,0,0,0,0,No,390270,AHCAH Measure - Tier 1,Jul/01/2021 12:00 AM,Jul/31/2021 12:00 AM,Medium,ess_service_account,Geisinger Wyoming Valley Medical Center: Measures for 2021-07-01 - 2021-07-31,Aug/02/2021 9:07 AM,Measures Submitted
Geisinger Medical Center,0,0,0,0,0,0,0,0,0,No,390006,AHCAH Measure - Tier 1,Jul/01/2021 12:00 AM,Jul/31/2021 12:00 AM,Medium,ess_service_account,Geisinger Medical Center: Measures for 2021-07-01 - 2021-07-31,Aug/02/2021 9:05 AM,Measures Submitted
Abbott Northwestern Hospital,0,0,0,0,0,0,0,0,0,No,240057,AHCAH Measure - Tier 1,Jul/01/2021 12:00 AM,Jul/31/2021 12:00 AM,Medium,ess_service_account,Abbott Northwestern Hospital: Measures for 2021-07-01 - 2021-07-31,Aug/02/2021 8:49 AM,Measures Submitted
St. Francis Regional Medical Center,0,0,0,0,0,0,0,0,0,No,240104,AHCAH Measure - Tier 1,Jul/01/2021 12:00 AM,Jul/31/2021 12:00 AM,Medium,ess_service_account,St. Francis Regional Medical Center: Measures for 2021-07-01 - 2021-07-31,Aug/02/2021 8:48 AM,Measures Submitted
Mercy Hospital,0,0,0,0,0,0,0,0,0,No,240115,AHCAH Measure - Tier 1,Jul/01/2021 12:00 AM,Jul/31/2021 12:00 AM,Medium,ess_service_account,Mercy Hospital: Measures for 2021-07-01 - 2021-07-31,Aug/02/2021 8:47 AM,Measures Submitted
United Hospital,0,0,0,0,0,0,0,0,0,No,240038,AHCAH Measure - Tier 1,Jul/01/2021 12:00 AM,Jul/31/2021 12:00 AM,Medium,ess_service_account,United Hospital: Measures for 2021-07-01 - 2021-07-31,Aug/02/2021 8:46 AM,Measures Submitted
